,Unnamed: 0,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,postalCode,rating,state
0,0,,Restaurant,IN,Bangalore,India,,6063,"['Bangalore 560034', 'Karnātaka', 'India']",4f805509e4b0c2f7654da749,"[{'label': 'display', 'lat': 12.928916567649734, 'lng': 77.6273066650608}]",12.928916567649734,77.6273066650608,12th Main Restaurant,560034,6.1,Karnātaka
16,16,"477, Krishna Temple Rd",Karnataka Restaurant,IN,Bangalore,India,"1st Stage, Indiranagar",5624,"['477, Krishna Temple Rd (1st Stage, Indiranagar)', 'Bangalore', 'Karnātaka', 'India']",4c792ffcdf08a1cd98b4d95d,"[{'label': 'display', 'lat': 12.978958396738818, 'lng': 77.64173497282401}]",12.978958396738818,77.64173497282403,Coorg - The Restaurant,,8.0,Karnātaka
20,20,"Next to Hindu Office, Off Infantry Road",Indian Restaurant,IN,Bangalore,India,,937,"['Next to Hindu Office, Off Infantry Road', 'Bangalore 560052', 'Karnātaka', 'India']",4b9da64ef964a5202db836e3,"[{'label': 'display', 'lat': 12.983455524060558, 'lng': 77.59870692295682}]",12.983455524060554,77.59870692295681,Eden Park Restaurant,560052.0,7.4,Karnātaka
24,24,"#42/5, Opp. Shivajinagar Bus Stand",Indian Restaurant,IN,Bangalore,India,Central Street,1343,"['#42/5, Opp. Shivajinagar Bus Stand (Central Street)', 'Bangalore 560005', 'Karnātaka', 'India']",4b7bd6aaf964a52017702fe3,"[{'label': 'display', 'lat': 12.982176147381397, 'lng': 77.6032790142766}]",12.982176147381391,77.6032790142766,Imperial Restaurant,560005.0,5.7,Karnātaka
38,38,"No.82 and 83,2nd Floor,Ktr Complex",Indian Restaurant,IN,Bangalore,India,"Hosur Road,Madiwala",7207,"['No.82 and 83,2nd Floor,Ktr Complex (Hosur Road,Madiwala)', 'Bangalore 560068', 'Karnātaka', 'India']",4cdf586d825e721e5d827045,"[{'label': 'display', 'lat': 12.925965372540235, 'lng': 77.61720299702402}]",12.925965372540235,77.61720299702401,MAS Family Restaurant,560068,5.2,Karnātaka
39,39,,South Indian Restaurant,IN,,India,,1310,['India'],4d1ee872dd6a236a55c82b38,"[{'label': 'display', 'lat': 12.972158540297588, 'lng': 77.60103860908832}]",12.972158540297587,77.60103860908832,MTR Restaurant,,7.6,
41,41,J C Road,Indian Restaurant,IN,Bangalore,India,,2800,"['J C Road', 'Bangalore 560002', 'Karnātaka', 'India']",4d01ec0e3be26dcb537475e4,"[{'label': 'display', 'lat': 12.95612026676884, 'lng': 77.58084503644635}]",12.95612026676884,77.58084503644635,Mayuri Restaurant,560002.0,6.2,Karnātaka
42,42,Near More Megastore,Andhra Restaurant,IN,Bangalore,India,"Outer ring road, Marathahalli",2034,"['Near More Megastore (Outer ring road, Marathahalli)', 'Bangalore 560037', 'Karnātaka', 'India']",59575a86d1a40251f586a07f,"[{'label': 'display', 'lat': 12.948422655039021, 'lng': 77.69905539810841}]",12.94842265503902,77.6990553981084,Nagarjuna Restaurant,560037,7.4,Karnātaka
45,45,"173/1, S.C. Road,",Indian Restaurant,IN,Bangalore,India,Seshadripuram,2313,"['173/1, S.C. Road, (Seshadripuram)', 'Bangalore 560020', 'Karnātaka', 'India']",4d71c7d495bc8eec74015ff9,"[{'label': 'display', 'lat': 12.989394635631218, 'lng': 77.57276446433143}]",12.989394635631218,77.57276446433144,New Samrat Restaurant,560020.0,6.7,Karnātaka
0,0,"477, Krishna Temple Rd",Karnataka Restaurant,IN,Bangalore,India,"1st Stage, Indiranagar",645,"['477, Krishna Temple Rd (1st Stage, Indiranagar)', 'Bangalore', 'Karnātaka', 'India']",4c792ffcdf08a1cd98b4d95d,"[{'label': 'display', 'lat': 12.978958396738818, 'lng': 77.64173497282401}]",12.978958396738818,77.64173497282403,Coorg - The Restaurant,,8.0,Karnātaka
