,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,postalCode,state
0,,Restaurant,IN,Bangalore,India,,6063,"['Bangalore 560034', 'Karnātaka', 'India']",4f805509e4b0c2f7654da749,"[{'label': 'display', 'lat': 12.928916567649734, 'lng': 77.6273066650608}]",12.928916567649734,77.6273066650608,12th Main Restaurant,560034,Karnātaka
1,"#69, next to adishwars electronics, sarjapur road, kaikondrahalli",Restaurant,IN,Bangalore,India,sarjapur road,3474,"['#69, next to adishwars electronics, sarjapur road, kaikondrahalli (sarjapur road)', 'Bangalore 560035', 'Karnātaka', 'India']",503f1587e4b074ec08137454,"[{'label': 'display', 'lat': 12.91451582710578, 'lng': 77.67642614859112}]",12.91451582710578,77.67642614859113,3 Olives multi cuisine restaurant,560035,Karnātaka
2,,Indian Restaurant,IN,,India,,2400,['India'],4ea7b945e3003a42bcaf511a,"[{'label': 'display', 'lat': 12.924852799616739, 'lng': 77.67405523944606}]",12.92485279961674,77.67405523944606,Aangan Restaurant @ Bellandur,,
3,149 Infantry Road,,IN,Bangalore 560 001,India,,586,"['149 Infantry Road', 'Bangalore 560 001', 'Karnataka State', 'India']",4d64ff3c6ccdba7a26b09dc3,"[{'label': 'display', 'lat': 12.983956333333333, 'lng': 77.59343481666667}]",12.983956333333332,77.59343481666667,Aathithya Restaurant,,Karnataka State
4,Racecourse road,Indian Restaurant,IN,Bangalore,India,,720,"['Racecourse road', 'Bangalore', 'Karnātaka', 'India']",4b6bd124f964a52079192ce3,"[{'label': 'display', 'lat': 12.984431307206906, 'lng': 77.58749954349052}]",12.984431307206904,77.58749954349051,Alampur Restaurant,,Karnātaka
5,KSCA,Chinese Restaurant,IN,Bangalore,India,MG Road,898,"['KSCA (MG Road)', 'Bangalore 500001', 'Karnātaka', 'India']",5143510ce4b0fa9ec808582d,"[{'label': 'display', 'lat': 12.979494, 'lng': 77.59957}]",12.979494,77.59957,All Rounder Restaurant,500001.0,Karnātaka
6,"No. 289, Outer Ring Road",Hotel Bar,IN,,India,,2320,"['No. 289, Outer Ring Road', '560103', 'India']",56bb4617498e1b999606cb3b,"[{'label': 'display', 'lat': 12.925384, 'lng': 77.67482}]",12.925384,77.67482,Atithi Restaurant & Bar,560103,
7,,Kerala Restaurant,IN,,India,,2092,['India'],5708f822498e61fc83c6289b,"[{'label': 'display', 'lat': 12.926716, 'lng': 77.67913}]",12.926716,77.67913,Azura Restaurant,,
8,,Indian Restaurant,IN,,India,,1782,['India'],4fc79718e4b0932612a97e44,"[{'label': 'display', 'lat': 12.939845085144043, 'lng': 77.69593811035156}]",12.939845085144045,77.69593811035156,Bagini Royal Restaurant,,
9,,Indian Restaurant,IN,,India,,835,['India'],4d4ad26f5129a35d72be47ac,"[{'label': 'display', 'lat': 12.985210700202664, 'lng': 77.5868000246769}]",12.985210700202662,77.5868000246769,Banajara Restaurant in Gold Finch Hotel,,
10,,Indian Restaurant,IN,,India,,1447,['India'],4e8f1cb6be7b11a0c4fc40f4,"[{'label': 'display', 'lat': 12.98532, 'lng': 77.579568}]",12.98532,77.57956800000002,Banjara Restaurant,,
11,,Kerala Restaurant,IN,Bangalore,India,,1691,"['Bangalore 560103', 'Karnātaka', 'India']",59d20f78e185f35b0754218f,"[{'label': 'display', 'lat': 12.930889, 'lng': 77.684944}]",12.930889,77.68494399999999,Blue Berry Restaurant,560103,Karnātaka
12,,Indian Restaurant,IN,,India,,1766,['India'],534a5e0c498ec8a9e436b3de,"[{'label': 'display', 'lat': 12.938183662848585, 'lng': 77.6950226202422}]",12.938183662848587,77.6950226202422,Cauveri Hyderabad  Restaurant,,
13,Basava Nagar,Indian Restaurant,IN,Bangalore,India,Talakaveri Layout,2487,"['Basava Nagar (Talakaveri Layout)', 'Bangalore 560037', 'Karnātaka', 'India']",4d31e2df16a68eec30c5a4dd,"[{'label': 'display', 'lat': 12.967758119178917, 'lng': 77.68205165863037}]",12.967758119178916,77.68205165863037,Century restaurant,560037,Karnātaka
14,,Kerala Restaurant,IN,Bengaluru South,India,,1762,"['Bengaluru South 560035', 'Karnātaka', 'India']",59a7bc52d1a40225cf007b4f,"[{'label': 'display', 'lat': 12.939275, 'lng': 77.695503}]",12.939275,77.695503,Chetai's Kerala Restaurant,560035,Karnātaka
15,,Diner,IN,,India,,1701,['India'],548febfa498e3a90e4640e33,"[{'label': 'display', 'lat': 12.93934371243184, 'lng': 77.69492198621809}]",12.93934371243184,77.69492198621809,"Chillys Restaurant, Kadubisanahalli",,
16,"477, Krishna Temple Rd",Karnataka Restaurant,IN,Bangalore,India,"1st Stage, Indiranagar",5624,"['477, Krishna Temple Rd (1st Stage, Indiranagar)', 'Bangalore', 'Karnātaka', 'India']",4c792ffcdf08a1cd98b4d95d,"[{'label': 'display', 'lat': 12.978958396738818, 'lng': 77.64173497282401}]",12.978958396738818,77.64173497282403,Coorg - The Restaurant,,Karnātaka
17,,Indian Restaurant,IN,Bangalore,India,,1584,"['Bangalore', 'Karnātaka', 'India']",4dd689917d8b322663d90c98,"[{'label': 'display', 'lat': 12.975868, 'lng': 77.577082}]",12.975868,77.57708199999998,Delhi Restaurant,,Karnātaka
18,,Restaurant,IN,,India,,829,['India'],5747dc69cd1062490b28a0b2,"[{'label': 'display', 'lat': 12.948915481567383, 'lng': 77.68732452392578}]",12.948915481567385,77.68732452392578,Diamond restaurant,,
19,Panathur Road,Indian Restaurant,IN,Bangalore,India,,2100,"['Panathur Road', 'Bangalore 560103', 'Karnātaka', 'India']",5e1f3560df80e90008968776,"[{'label': 'display', 'lat': 12.938152, 'lng': 77.698394}]",12.938152,77.698394,"Dine City, Family Restaurant",560103,Karnātaka
20,"Next to Hindu Office, Off Infantry Road",Indian Restaurant,IN,Bangalore,India,,937,"['Next to Hindu Office, Off Infantry Road', 'Bangalore 560052', 'Karnātaka', 'India']",4b9da64ef964a5202db836e3,"[{'label': 'display', 'lat': 12.983455524060558, 'lng': 77.59870692295682}]",12.983455524060554,77.59870692295681,Eden Park Restaurant,560052.0,Karnātaka
21,,Karnataka Restaurant,IN,,India,Gandhi Nagar,1342,"['Gandhi Nagar', 'India']",54958c7a498e2fe76c0f0f66,"[{'label': 'display', 'lat': 12.977023043730783, 'lng': 77.57911062856498}]",12.977023043730785,77.57911062856499,Empire Restaurant,,
22,"#9, Mota Chambers",Indian Restaurant,IN,Bangalore,India,Millers Road,1233,"['#9, Mota Chambers (Millers Road)', 'Bangalore 560052', 'Karnātaka', 'India']",5a49f3de002f4c20b39c28bc,"[{'label': 'display', 'lat': 12.990051, 'lng': 77.59316}]",12.990051,77.59316,Grand Spicy Restaurant,560052.0,Karnātaka
